old_urls,count
https://www.jabong.com/lingerie-shop-online/,failed
https://www.jabong.com/kids/clothing/girls-clothing/kids-ethnic-wear/,615
https://www.jabong.com/kids/clothing/girls-clothing/girls-winter-wear/kids-jackets-coats/,340
https://www.jabong.com/men/bags/travel-bags/american-tourister/,36
https://www.jabong.com/clothing/Roadster/,6518
https://www.jabong.com/men/clothing/polos-tshirts/,36009
https://www.jabong.com/women/clothing/winter-wear/sweaters/,3462
https://www.jabong.com/women/clothing/dresses-jumpsuits/dresses/,17619
https://www.jabong.com/women/clothing/lingerie-nightwear/shapewear/,177
https://www.jabong.com/men/clothing/Nike/,587
https://www.jabong.com/women/clothing/kurtas-suit-sets/kurtas-kurtis/aurelia/,332
https://www.jabong.com/women/accessories/sunglasses/,4140
https://www.jabong.com/women/bags/,14725
https://www.jabong.com/men/clothing/suits-blazers/waistcoats/,535
https://www.jabong.com/kids/,53350
https://www.jabong.com/party-collection/,failed
https://www.jabong.com/men/clothing/shirts/formal-shirts/new-products/,918
https://www.jabong.com/shoes/Crocs/,611
https://www.jabong.com/river-island-shop-online/,failed
https://www.jabong.com/tommy-hilfiger-shop-online/,failed
https://www.jabong.com/Lee_Cooper/,1998
https://www.jabong.com/jack-jones/,2736
https://www.jabong.com/women/clothing/winter-wear/winter-jackets/,2718
https://www.jabong.com/men/accessories/watches/chronograph-watches/,393
https://www.jabong.com/women/jewellery/fashion-jewellery/fj-rings-bands/,1014
https://www.jabong.com/kids/clothing/boys-clothing/kids-ethnic-party-wear/kids-kurtas-kurta-sets/,205
https://www.jabong.com/men/clothing/winter-wear/jackets/online-sale/,2460
https://www.jabong.com/nba-store/,failed
https://www.jabong.com/women/bags/caprese/,163
https://www.jabong.com/men/clothing/clothing-accessories/caps-hats/,450
https://www.jabong.com/men/shoes/Crocs/,200
https://www.jabong.com/dc-shop-online/,failed
https://www.jabong.com/women/clothing/sarees-dress-material/saree-blouses/,183
https://www.jabong.com/women/clothing/summer-jackets-shrugs/,1507
https://www.jabong.com/women/shoes/boots/,1625
https://www.jabong.com/women/shoes/Catwalk/,477
https://www.jabong.com/Woodland/,400
https://www.jabong.com/men/bags/backpack/,1423
https://www.jabong.com/terms_and_conditions/,failed
https://www.jabong.com/jabong-coupons/,failed
https://www.jabong.com/men/clothing/winter-wear/jackets/bomber-jackets/,330
https://www.jabong.com/men/clothing/clothing-accessories/caps-hats/Nike/,27
https://www.jabong.com/women/clothing/kurtas-suit-sets/women-ethnic-jackets/,62
https://www.jabong.com/women/clothing/winter-wear/winter-jackets/long-coats/,234
https://www.jabong.com/Hidesign/,103
https://www.jabong.com/kids/clothing/girls-clothing/girls-jeans-trousers/,1957
https://www.jabong.com/men/clothing/shorts-34ths/,3542
https://www.jabong.com/women/clothing/kurtas-suit-sets/kurtas-kurtis/color-Black/,2478
https://www.jabong.com/men/shoes/formal-shoes/,4488
https://www.jabong.com/Lilliput/,1186
https://www.jabong.com/men/clothing/cobb/,465
https://www.jabong.com/women/shoes/sports-shoes/running-shoes/,1058
https://www.jabong.com/bigbrandsale/,failed
https://www.jabong.com/Carlton_London/,1336
https://www.jabong.com/kids/clothing/boys-clothing/kids-ethnic-party-wear/,450
https://www.jabong.com/men/clothing/raymond/,707
https://www.jabong.com/women/clothing/tops-tees-shirts/shirts/,5494
https://www.jabong.com/men/shoes/sandals-slippers/slippers/Adidas/,65
https://www.jabong.com/kids/clothing/boys-clothing/kids-t-shirts-polos/,5902
https://www.jabong.com/women/clothing/w/,969
https://www.jabong.com/men/clothing/winter-wear/sweaters/monte-carlo/,119
https://www.jabong.com/kids/clothing/girls-clothing/kids-tops-t-shirts/,5024
https://www.jabong.com/women/clothing/sarees-dress-material/dress-material/,1549
https://www.jabong.com/men/shoes/casual-shoes/Woodland/,127
https://www.jabong.com/women/clothing/lingerie-nightwear/panties/,1940
https://www.jabong.com/women/shoes/flats/,8316
https://www.jabong.com/women/clothing/kurtas-suit-sets/kurtas-kurtis/Sangria/,630
https://www.jabong.com/theory-of-formal-wear/,failed
https://www.jabong.com/women/shoes/sneakers/,4365
https://www.jabong.com/men/shoes/casual-shoes/Lee_Cooper/,97
https://www.jabong.com/disney-shop-online/,failed
https://www.jabong.com/men/clothing/shirts/casual-shirts/new-products/,4356
https://www.jabong.com/The-North-Face/,59
https://www.jabong.com/women/clothing/sarees-dress-material/sarees/,9446
https://www.jabong.com/sellonjabong/,failed
https://www.jabong.com/men/shoes/sports-shoes/Puma/,588
https://www.jabong.com/men/shoes/sandals-slippers/,2438
https://www.jabong.com/men/clothing/shirts/casual-shirts/united-colors-of-benetton/,867
https://www.jabong.com/women/clothing/kurtas-suit-sets/kurtas-kurtis/new-products/,5057
https://www.jabong.com/men/shoes/flip-flops/,517
https://www.jabong.com/men/shoes/Egoss/,93
https://www.jabong.com/forever-21-shop-online/,failed
https://www.jabong.com/kids/clothing/girls-clothing/kids-dresses-skirts/kids-party-dresses-frocks/,1406
https://www.jabong.com/shoes/Nike/online-sale/,333
https://www.jabong.com/Adidas/,2414
https://www.jabong.com/women/clothing/clothing-accessories/socks-stockings/,220
https://www.jabong.com/women/bags/handbags/,5417
https://www.jabong.com/men/bags/travel-bags/,681
https://www.jabong.com/adidas-originals/,547
https://www.jabong.com/kids/clothing/girls-clothing/kids-dresses-skirts/kids-casual-dresses-frocks/,3648
https://www.jabong.com/women/accessories/belts/,275
https://www.jabong.com/men/shoes/Lotto/,66
https://www.jabong.com/men/shoes/sandals-slippers/Woodland/,121
https://www.jabong.com/men/clothing/trackwear/tights/,46
https://www.jabong.com/women/clothing/kurtas-suit-sets/kurtas-kurtis/color-Green/,937
https://www.jabong.com/men/shoes/united-colors-of-benetton/,359
https://www.jabong.com/united-colors-of-benetton/,6048
https://www.jabong.com/women/clothing/kurtas-suit-sets/kurtas-kurtis/rangmanch-by-pantaloons/,495
https://www.jabong.com/Nike/,1732
https://www.jabong.com/arrow/,684
https://www.jabong.com/men/clothing/winter-wear/jackets/quilted-jackets/,422
https://www.jabong.com/accessories/Gucci/,2
https://www.jabong.com/clothing/Yepme/,294395
https://www.jabong.com/women/clothing/Global_Desi/,643
https://www.jabong.com/men/clothing/trousers/casual-trousers/chinos/,4390
https://www.jabong.com/women/beauty/women-make-up/,2322
https://www.jabong.com/dorothy-perkins-shop-online/,failed
https://www.jabong.com/women/clothing/kurtas-suit-sets/suit-sets/palazzo-kameez-dupatta/,149
https://www.jabong.com/women/clothing/jaipur-kurti/,597
https://www.jabong.com/women/clothing/tops-tees-shirts/tops/,34534
https://www.jabong.com/men/clothing/innerwear-sleepwear/sleepwear/night-suits/,20
https://www.jabong.com/women/shoes/new-products/,5804
https://www.jabong.com/men/shoes/sports-shoes/hiking-shoes/,467
https://www.jabong.com/hdfc-offer/,failed
https://www.jabong.com/men/clothing/winter-wear/jackets/casual-jackets/,2153
https://www.jabong.com/men/clothing/denims/jeans/,9610
https://www.jabong.com/mountain-dew/,failed
https://www.jabong.com/kids/clothing/girls-clothing/kids-twin-sets-jumpsuits/kids-jumpsuits-dungarees/,444
https://www.jabong.com/men/shoes/sneakers/Nike/,84
https://www.jabong.com/women/clothing/kurtas-suit-sets/suit-sets/Biba/,307
https://www.jabong.com/men/shoes/sports-shoes/running-shoes/,2616
https://www.jabong.com/women/clothing/leggings-jeggings/leggings/,1803
https://www.jabong.com/men/clothing/suits-blazers/,2428
https://www.jabong.com/men/shoes/boots/,1005
https://www.jabong.com/men/clothing/denims/jeans/color-Black/,750
https://www.jabong.com/men/accessories/watches/color-Black/,1105
https://www.jabong.com/juicestyle/,failed
https://www.jabong.com/asics/,257
https://www.jabong.com/men/shoes/Puma/,1493
https://www.jabong.com/women/clothing/sarees-dress-material/,11539
https://www.jabong.com/men/clothing/polos-tshirts/Nike/,260
https://www.jabong.com/men/bags/travel-bags/strolleys/,327
https://www.jabong.com/women/clothing/trousers-jeans/jeans/,4171
https://www.jabong.com/men/shoes/sports-shoes/Lee_Cooper/,102
https://www.jabong.com/men/clothing/,111863
https://www.jabong.com/men/shoes/Woodland/,310
https://www.jabong.com/women/clothing/kurtas-suit-sets/suit-sets/kurta-pants-set/,606
https://www.jabong.com/men/clothing/clothing-accessories/ties-cufflinks/tie-cufflink-combos/,202
https://www.jabong.com/Flying_Machine/,1502
https://www.jabong.com/men/shoes/sports-shoes/cricket-shoes/,23
https://www.jabong.com/men/shoes/sandals-slippers/Hush_Puppies/,61
https://www.jabong.com/women/shoes/flip-flops/,472
https://www.jabong.com/men/clothing/ethnic-wear/kurtas/,1382
https://www.jabong.com/online-sale-women/,failed
https://www.jabong.com/kids/clothing/boys-clothing/kids-ethnic-party-wear/kids-blazers-suit-sets/,139
https://www.jabong.com/kids/shoes/kids-sandals/,492
https://www.jabong.com/women/clothing/tunics/,2037
https://www.jabong.com/women/shoes/belly-shoes/,3204
https://www.jabong.com/Levis/,1083
https://www.jabong.com/women/clothing/clothing-accessories/scarves-stoles/,377
https://www.jabong.com/sports-store/,failed
https://www.jabong.com/kids/clothing/boys-clothing/boys-winter-wear/kids-jackets-coats/,450
https://www.jabong.com/Lavie/,823
https://www.jabong.com/home-living/home-furnishing/curtains-sheers/curtains/,1211
https://www.jabong.com/men/bags/messenger-sling-bags/,238
https://www.jabong.com/men/bags/wallet/,1221
https://www.jabong.com/swarovski-create-your-style-shop-online/,failed
https://www.jabong.com/men/clothing/shorts-34ths/shorts/,3261
https://www.jabong.com/men/clothing/trackwear/trackpants/Reebok/,80
https://www.jabong.com/men/clothing/winter-wear/thermals/,76
https://www.jabong.com/women/clothing/kurtas-suit-sets/suit-sets/,2969
https://www.jabong.com/men/shoes/Us_Polo_Assn/,319
https://www.jabong.com/men/clothing/polos-tshirts/Us_Polo_Assn/,342
https://www.jabong.com/men/clothing/shirts/casual-shirts/,23954
https://www.jabong.com/men/clothing/polos-tshirts/polo-tshirts/,10187
https://www.jabong.com/women/clothing/trousers-jeans/trousers/,4526
https://www.jabong.com/men/clothing/trousers/formal-trousers/,2312
https://www.jabong.com/women/clothing/dresses-jumpsuits/dresses/color-Black/,3925
https://www.jabong.com/men/shoes/buckaroo/,153
https://www.jabong.com/men/clothing/polos-tshirts/high-neck-t-shirts/,179
https://www.jabong.com/Us_Polo_Assn/,2839
https://www.jabong.com/men/clothing/polos-tshirts/Adidas/,345
https://www.jabong.com/men/shoes/sneakers/vans/,345
https://www.jabong.com/men/shoes/casual-shoes/,4771
https://www.jabong.com/women/clothing/kurtas-suit-sets/kurtas-kurtis/color-Red/,1495
https://www.jabong.com/termsofuse-jabongpoints/,failed
https://www.jabong.com/women/clothing/capris-shorts-skirts/shorts/,1287
https://www.jabong.com/men/shoes/color-White/,1119
https://www.jabong.com/shoes/Aldo/,98
https://www.jabong.com/men/clothing/shirts/casual-shirts/Us_Polo_Assn/,596
https://www.jabong.com/women/shoes/heels/,9529
https://www.jabong.com/women/clothing/salwars-churidars-dupattas/dupattas/,775
https://www.jabong.com/men/clothing/winter-wear/jackets/Puma/,51
https://www.jabong.com/women/clothing/kurtas-suit-sets/kurtas-kurtis/,21480
https://www.jabong.com/men/clothing/ethnic-wear/kurta-pyjamas/,1004
https://www.jabong.com/support/faq/,failed
