Action,Apdex,Count,Avg (ms),SD (ms),Min (ms),Max (ms),Total (ms),Total (% time),Dissat (%)
Root path,0.98 [0.2],377402879.86197346,56.3,101,0.357,60100,21300000000,100.0,100.0
/get /v1/search,0.98 [0.2],92508484.91249168,76.7,74.6,0.357,60000,7100000000,36.3,38.9
/get /v1/products/dynamic/sku/:sku,0.98 [0.2],40709209.18608755,71.2,68.2,0.391,30100,2900000000,14.8,10.9
/get /v2/products/sku/:sku,1.0 [0.2],34569996.49705256,57.4,58.4,0.401,60000,1990000000,10.1,02.8
/get /v1/products/recentlist,1.0 [0.2],41798836.54044728,33.6,48.6,0.372,60000,1400000000,07.2,01.5
/get /v1/search/recommend/:type,1.0 [0.2],36350607.87117519,25.7,19.8,0.406,2830,936000000,04.8,00.6
/get /v1/search/suggest,0.96 [0.2],11707577.04785183,67.5,87.5,0.426,33600,790000000,04.0,07.7
/get /v1/shortlist,0.99 [0.2],13724108.999176547,44.7,61.1,0.377,60000,613000000,03.1,02.3
/get /v1/search/trending,1.0 [0.2],4654126.791012587,100,20.6,0.469,5620,467000000,02.4,00.0
/get /v1/cart,0.73 [0.2],3238359.2560157897,137,178,0.396,31800,444000000,02.3,10.1
/get /v1/banner,0.99 [0.2],3800067.2461343408,113,108,0.453,35900,430000000,02.2,00.4
/get /v1/initapi,1.0 [0.2],7351245.501718798,48.2,32.9,0.418,18700,355000000,01.8,00.3
/post /v1/shortlist,0.93 [0.2],3359164.4672455904,83.9,464,0.378,60100,282000000,01.4,03.0
/post /v1/device/voucher,1.0 [0.2],2505401.806370659,101,29.6,0.486,15400,252000000,01.3,00.0
/post /v1/cart,0.67 [0.2],1655379.0420110677,150,395,0.406,59100,248000000,01.3,03.8
/get /v1/initapi/getsegmentkey,1.0 [0.2],11435901.436469866,16.6,72.4,0.434,49500,190000000,01.0,00.4
/get /v1/cart/voucher,0.88 [0.2],1291529.067928425,97.9,239,0.399,60000,126000000,00.6,01.7
/delete /v1/shortlist/:sku,0.98 [0.2],2690448.732795692,40.5,148,0.358,60000,109000000,00.6,00.8
/get /v1/products/sku/:sku,0.96 [0.2],1471140.583498902,53.3,470,0.404,60100,78400000,00.4,00.5
/delete /v1/cart/:sku,0.63 [0.2],530499.1677204953,146,286,0.392,60000,77600000,00.4,01.5
/get /v1/initapi/timestamps,1.0 [0.2],5132940.295659221,14.8,97.0,0.503,35800,76000000,00.4,00.2
/get /v1/checkout/payment/methods,0.53 [0.2],450102.86386510683,157,433,0.412,31100,70600000,00.4,00.9
/get /v1/offer,1.0 [0.2],603444.2652306325,102,25.1,0.494,10200,61500000,00.3,00.0
/post /v1/device/info,0.99 [0.2],410463.8767167603,115,28.9,0.499,2500,47300000,00.2,00.0
/post /v1/cart/voucher,0.5 [0.2],148526.04501607717,272,193,0.521,12700,40500000,00.2,00.8
/post /v1/user/login,0.92 [0.2],189280.3879408939,198,680,0.419,59700,37500000,00.2,00.2
/get /v2/order/:orderNumber,0.06 [0.2],105693.92342644832,336,443,0.532,31300,35500000,00.2,00.5
/get /v1/checkout/order,0.51 [0.2],156025.01417397967,219,475,0.384,30300,34100000,00.2,00.5
/get /v1/order/status/time/from/:fromMonth/to/:toMonth/:status,0.41 [0.2],137238.5010521913,232,476,0.482,46700,31800000,00.2,00.3
/post /v1/checkout/order/cod,0.43 [0.2],87913.64245256325,333,1230,0.436,60100,29300000,00.1,00.2
/post /v1/user/checkout/guestlogin,0.34 [0.2],225935.12178607585,125,436,0.397,60000,28300000,00.1,00.3
/get /v1/juice/categories,1.0 [0.2],216519.76760144564,108,40.9,0.501,2270,23300000,00.1,00.0
/get /v1/user/postlogin,0.78 [0.2],118158.10415141692,178,106,0.576,4510,21100000,00.1,00.4
/post /v1/checkout/guest/address,0.86 [0.2],269869.05796769913,74.9,334,0.426,30200,20200000,00.1,00.2
/post /v1/tinyurl,0.98 [0.2],123842.06572371075,157,34.3,0.555,2210,19500000,00.1,00.0
/post /v1/shortlist/cart/move,0.94 [0.2],190581.5258734495,91.7,232,0.458,60000,17500000,00.1,00.2
/get /v1/products/tat/:sku,0.88 [0.2],116008.20839923144,148,81.0,0.46,1670,17200000,00.1,00.3
/get /v1/checkout/address,0.85 [0.2],133648.75593927075,124,303,0.429,15000,16600000,00.1,00.2
/get /v1/juice/article/:id,0.99 [0.2],125421.27648450469,112,160,0.467,54000,14100000,00.1,00.0
/get /v1/account/smsoptstatus,0.99 [0.2],76687.58583843503,152,31.7,0.545,1160,11700000,00.1,00.0
/get /v1/checkout/lookup,0.88 [0.2],66793.2103697241,156,70.0,0.511,1160,10400000,00.1,00.1
/post /v1/checkout/success,0.59 [0.2],49011.71838110472,211,83.4,0.57,2790,10300000,00.1,00.3
/get /v1/account/bankDetails,0.67 [0.2],43966.67930200641,193,68.9,0.56,1270,8490000,00.0,00.2
/get /v1/referral/code,0.95 [0.2],47230.85369201208,171,40.1,0.53,1650,8090000,00.0,00.0
/post /v1/user,0.66 [0.2],32793.6,220,137,0.519,14500,7230000,00.0,00.2
/put /v1/cart,0.51 [0.2],25117.979687071096,282,222,0.64,6030,7090000,00.0,00.1
/post /v1/checkout/set/address,0.72 [0.2],47704.44543965689,140,447,0.46,30500,6700000,00.0,00.1
/post /v1/checkout/address,0.75 [0.2],42392.64807548045,152,442,0.399,26000,6460000,00.0,00.1
/get /v2/products/:id,0.99 [0.2],90480.52035049481,63.8,127,0.604,30200,5770000,00.0,00.0
/post /v1/order/return/address,0.53 [0.2],22787.789098693513,239,110,0.65,1040,5460000,00.0,00.1
/get /v1/order,0.43 [0.2],14350.1378360315,331,321,0.532,8290,4750000,00.0,00.1
