Action,Apdex,Count,Avg (ms),SD (ms),Min (ms),Max (ms),Total (ms),Total (% time),Dissat (%)
Root path,0.95 [0.2],325818643.07329845,90.2,122,0.539,12700,29400000000,100.0,100.0
/get /v1/search,0.93 [0.2],75856946.05258644,124,97.5,0.539,8010,9370000000,34.4,40.0
/get /v1/products/dynamic/sku/:sku,0.96 [0.2],35203613.152326815,116,72.4,0.686,5180,4090000000,15.0,09.3
/get /v2/products/sku/:sku,1.0 [0.2],35408045.49103926,61.1,70.7,0.71,6980,2160000000,07.9,00.9
/get /v1/products/recentlist,0.99 [0.2],33776867.40395942,55.6,89.8,0.619,9620,1880000000,06.9,01.4
/get /v1/search/suggest,0.9 [0.2],12511298.45717488,113,137,0.601,6030,1420000000,05.2,08.9
/get /v1/search/recommend/:type,1.0 [0.2],36738312.21107769,31.1,30.6,0.791,5450,1140000000,04.2,00.4
/get /v1/cart,0.61 [0.2],3162178.537689994,250,114,0.628,7690,789000000,02.9,08.8
/get /v1/banner,0.95 [0.2],4352240.044832279,170,281,0.578,10600,742000000,02.7,01.7
/get /v1/shortlist,0.96 [0.2],7916706.199892494,82.3,95.4,0.624,5690,652000000,02.4,02.5
/post /v1/cart,0.5 [0.2],1508936.2718300032,418,147,0.589,5810,631000000,02.3,05.2
/get /v1/search/trending,1.0 [0.2],5732072.857028489,105,25.9,0.953,4610,602000000,02.2,00.0
/get /v1/initapi/getsegmentkey,0.99 [0.2],12479624.61658108,35.2,155,0.652,10300,440000000,01.6,01.1
/post /v1/shortlist,0.83 [0.2],2402842.3299061037,158,137,0.717,6600,380000000,01.4,02.9
/get /v1/initapi,1.0 [0.2],5214172.855884808,57.1,43.2,0.8,4060,297000000,01.1,00.1
/get /v1/initapi/timestamps,0.98 [0.2],5612739.137893569,50.9,240,0.649,12700,286000000,01.1,00.9
/post /v1/device/voucher,1.0 [0.2],2598686.743598248,105,46.3,0.685,6520,274000000,01.0,00.0
/get /v1/order/status/time/from/:fromMonth/to/:toMonth/:status,0.43 [0.2],421541.525898647,626,678,0.726,10700,264000000,01.0,01.4
/delete /v1/cart/:sku,0.51 [0.2],702525.2325759977,355,134,0.706,4890,249000000,00.9,02.4
/get /v2/order/:orderNumber,0.07 [0.2],303728.07973204803,810,474,0.676,7040,246000000,00.9,01.4
/post /v1/cart/voucher,0.5 [0.2],445725.73338757665,386,141,0.568,4650,172000000,00.6,01.5
/get /v1/cart/voucher,0.63 [0.2],474702.39684733696,350,260,0.677,6150,166000000,00.6,01.2
/get /v1/checkout/payment/methods,0.36 [0.2],168869.17895170237,576,317,0.664,6480,97300000,00.4,00.6
/get /v1/offer,1.0 [0.2],645483.7678782076,104,20.1,3.21,4490,67300000,00.2,00.0
/post /v1/shortlist/cart/move,0.74 [0.2],213976.44806002194,295,322,0.834,5780,63100000,00.2,00.4
/get /v1/checkout/order,0.28 [0.2],100082.44095710352,588,343,0.807,4380,58900000,00.2,00.4
/delete /v1/shortlist/:sku,1.0 [0.2],1141948.9689719456,49.6,38.9,1.13,3330,56600000,00.2,00.0
/post /v1/device/info,1.0 [0.2],457873.21855118306,118,28.3,0.983,3470,54200000,00.2,00.0
/get /v1/order/reasons/secondary/:primaryReasonId,0.5 [0.2],107616.35463247824,480,123,0.64,2570,51600000,00.2,00.4
/get /v1/user/postlogin,0.63 [0.2],165553.34529306236,263,119,0.73,3940,43600000,00.2,00.4
/post /v1/order/return/address,0.51 [0.2],112096.87542888513,315,76.9,0.625,2450,35300000,00.1,00.4
/get /v1/order,0.46 [0.2],64680.993680027714,538,254,0.731,7000,34800000,00.1,00.2
/put /v1/cart,0.49 [0.2],76994.64980973871,409,164,0.713,3220,31500000,00.1,00.3
/post /v1/order/return/review,0.5 [0.2],56155.31993117546,492,154,0.822,2580,27600000,00.1,00.2
/get /v1/juice/categories,0.99 [0.2],232622.37761780748,117,84.3,1.2,4800,27200000,00.1,00.0
/post /v1/checkout/success,0.54 [0.2],92311.05367293023,258,57.2,0.835,2300,23900000,00.1,00.3
/post /v1/tinyurl,0.98 [0.2],140594.76977672052,168,27.3,0.823,2230,23600000,00.1,00.0
/get /v1/checkout/address,0.72 [0.2],82624.54374642594,255,97.8,0.976,3180,21000000,00.1,00.2
/get /v1/account/bankDetails,0.57 [0.2],93370.72461400212,223,80.2,0.94,3540,20800000,00.1,00.3
/post /v1/order/return/summary,0.5 [0.2],40304.45280626625,500,197,0.804,2660,20200000,00.1,00.1
/get /v1/juice/article/:id,0.98 [0.2],124944.58237618004,132,100,0.823,3170,16500000,00.1,00.0
/post /v1/user/login,0.95 [0.2],127506.67882245684,129,215,0.787,3310,16500000,00.1,00.0
/get /v1/products/tat/:sku,0.86 [0.2],88887.95996294318,163,77.7,0.987,2250,14500000,00.1,00.1
/get /v1/checkout/lookup,0.83 [0.2],74034.61663516007,187,71.1,0.815,2240,13800000,00.1,00.1
/post /v1/user,0.62 [0.2],42861.616587422184,289,118,0.91,1440,12400000,00.0,00.1
/get /v1/account/smsoptstatus,0.98 [0.2],75370.62124923004,163,34.0,3.82,2210,12300000,00.0,00.0
/post /v1/checkout/address,0.52 [0.2],34910.85477514689,351,77.2,0.897,2380,12300000,00.0,00.1
/post /v1/user/logout/:userId,0.53 [0.2],44388.67352990672,274,62.2,1.8,2590,12200000,00.0,00.1
/get /v1/order/return/initiate,0.28 [0.2],19673.209611482016,600,296,0.826,3730,11800000,00.0,00.1
/get /v1/account/:id,0.81 [0.2],55321.65851634123,200,168,0.781,4660,11100000,00.0,00.1
/delete /v1/cart/voucher/:couponCode,0.51 [0.2],29043.989634427297,330,103,1.03,3920,9580000,00.0,00.1
/get /v2/order/:orderNumber/cancel/list,0.49 [0.2],18822.1754532739,490,157,0.725,2880,9230000,00.0,00.1
/get /v2/products/:id,0.98 [0.2],99494.79332266956,86.1,214,0.87,6380,8570000,00.0,00.0
/get /v1/account/cards,0.51 [0.2],25967.8711420976,308,62.1,0.903,2340,8000000,00.0,00.1
/get /v1/order/listing/detail,0.48 [0.2],15301.405098242441,514,149,0.812,1730,7860000,00.0,00.1
/post /v1/checkout/order/cod,0.12 [0.2],8551.437539931665,901,651,0.795,5630,7710000,00.0,00.0
/post /v1/checkout/pgResponse,0.92 [0.2],57926.13539632876,113,272,0.964,3980,6540000,00.0,00.0
/post /v1/user/forgotpassword,0.65 [0.2],24286.7437950635,244,119,0.765,2760,5940000,00.0,00.1
/put /v1/account/:id,0.59 [0.2],21700.840731608077,255,97.1,0.954,2480,5530000,00.0,00.1
/delete /v1/account/address/:addressId,0.55 [0.2],17638.837923489762,264,70.5,1.25,3070,4660000,00.0,00.1
/post /v1/user/checkout/guestlogin,0.51 [0.2],9723.18350860452,457,127,1.12,1460,4440000,00.0,00.0
/get /v1/order/exchange/initiate,0.3 [0.2],6444.366593027359,623,323,1.21,3040,4010000,00.0,00.0
/post /v1/checkout/set/address,0.54 [0.2],13855.28521707871,288,67.1,0.923,1780,3990000,00.0,00.0
/post /v1/user/login/fb,0.0 [0.2],26757.660068821504,139,467,0.879,4260,3730000,00.0,00.2
/get /v1/products/sku/:sku,0.95 [0.2],24510.666331175515,148,357,0.897,5980,3640000,00.0,00.0
/post /v1/order/exchange/address,0.5 [0.2],6801.428571428572,505,203,1.1,2610,3440000,00.0,00.0
/post /v1/checkout/order/netbanking,0.19 [0.2],3954.104730226945,811,700,0.998,6410,3210000,00.0,00.0
/post /v1/account/bankDetails,0.55 [0.2],13967.633204639513,221,45.9,0.94,2210,3080000,00.0,00.0
/get /v1/account/address,1.0 [0.2],48120.79171037282,61.7,42.2,9.1,2370,2970000,00.0,00.0
/post /v1/user/checkout/login,0.99 [0.2],24397.775323342765,95.4,113,1.28,3170,2330000,00.0,00.0
/post /v1/checkout/order/express,0.09 [0.2],2785.2703284965114,833,594,0.838,5020,2320000,00.0,00.0
/post /v1/checkout/guest/address,0.92 [0.2],14573.363006245037,157,50.4,4.34,1250,2290000,00.0,00.0
/post /v1/checkout/order/creditdebit,0.19 [0.2],2397.00594005013,778,603,0.987,4500,1870000,00.0,00.0
/put /v1/account/address,0.89 [0.2],9936.545692533202,181,37.5,3.75,2220,1800000,00.0,00.0
/post /v1/order/exchange/summary,0.34 [0.2],2758.4475199356566,630,344,1.37,3050,1740000,00.0,00.0
/delete /v1/shortlist/multi/:skus,0.89 [0.2],7548.310794245423,154,201,4.06,4800,1160000,00.0,00.0
/get /v1/order/exchange/address/check,0.53 [0.2],4173.344923823031,243,45.8,3.58,496,1010000,00.0,00.0
/get /v1/order/:orderNumber,0.16 [0.2],1355.2741371939082,700,438,1.16,3410,949000,00.0,00.0
/get /v1/address/locality/:pincode,1.0 [0.2],31213.17595388416,29.2,25.2,8.09,2070,911000,00.0,00.0
/post /v1/order/address,0.56 [0.2],2479.421582804343,314,111,5.14,2030,780000,00.0,00.0
/post /v1/account/address,0.93 [0.2],3888.473739174774,176,55.6,12.1,2270,685000,00.0,00.0
/get /v1/referral/code,0.91 [0.2],2992.488933407628,184,22.6,16.8,451,552000,00.0,00.0
/get /v1/order/exchange/serviceability,0.77 [0.2],1902.4493070727437,212,49.9,6.05,496,403000,00.0,00.0
/delete /v1/account/cards/:cardtoken,0.51 [0.2],1043.6899079747577,315,65.0,5.0,573,329000,00.0,00.0
/get /v1/products/:id,0.96 [0.2],1644.8829753440987,141,344,5.28,5350,231000,00.0,00.0
/get /v1/products/sizechart/sku/:sku,1.0 [0.2],6610.003463893809,31.7,38.4,9.2,2050,209000,00.0,00.0
/delete /v1/account/bankDetails/:accountId,0.59 [0.2],855.2917037921085,214,40.3,29.7,347,183000,00.0,00.0
get /,1.0 [0.2],18773.393996146475,7.2,4.45,2.64,215,135000,00.0,00.0
