Action,Apdex,Count,Avg (ms),SD (ms),Min (ms),Max (ms),Total (ms),Total (% time),Dissat (%)
Root path,0.96 [0.2],371472101.8882167,80.5,114,0.418,60100,29900000000,100.0,100.0
/get /v1/search,0.93 [0.2],84063948.03115386,113,101,0.418,18100,9460000000,34.2,41.3
/get /v1/products/dynamic/sku/:sku,0.97 [0.2],40484273.01028169,102,76.1,0.451,60000,4130000000,14.9,09.9
/get /v2/products/sku/:sku,1.0 [0.2],36138233.54415179,60.5,69.9,0.458,9280,2190000000,07.9,01.0
/get /v1/products/recentlist,0.99 [0.2],43860596.31506113,48.3,87.8,0.43,13700,2120000000,07.7,02.2
/get /v1/search/suggest,0.9 [0.2],12258339.549618583,113,140,0.496,14500,1380000000,05.0,08.8
/get /v1/search/recommend/:type,1.0 [0.2],38753273.01714377,31.6,32.1,0.48,15000,1220000000,04.4,00.4
/get /v1/cart,0.62 [0.2],3682753.4339009803,232,126,0.446,14100,855000000,03.1,09.7
/get /v1/shortlist,0.97 [0.2],11455755.417043127,69.1,81.4,0.426,7040,791000000,02.9,02.6
/get /v1/banner,0.95 [0.2],4491858.302549264,161,264,0.475,14000,725000000,02.6,01.6
/post /v1/cart,0.52 [0.2],1732210.4646774249,369,191,0.447,9650,639000000,02.3,05.3
/get /v1/search/trending,1.0 [0.2],5599260.907853655,105,26.2,0.783,4620,589000000,02.1,00.0
/get /v1/initapi/getsegmentkey,0.99 [0.2],12709560.849525943,36.0,155,0.598,13000,458000000,01.6,01.1
/get /v1/initapi,0.99 [0.2],6273199.089630248,57.1,47.1,0.541,5400,358000000,01.3,00.3
/post /v1/device/voucher,1.0 [0.2],2673340.723034871,103,45.3,0.494,5590,276000000,01.0,00.0
/delete /v1/cart/:sku,0.53 [0.2],832388.7840694836,321,157,0.465,7040,267000000,01.0,02.6
/get /v1/initapi/timestamps,0.98 [0.2],5554061.406498393,47.6,225,0.67,11400,265000000,01.0,00.8
/post /v1/shortlist,0.99 [0.2],5380713.874828856,44.3,46.9,0.424,3590,238000000,00.9,00.3
/get /v1/order/status/time/from/:fromMonth/to/:toMonth/:status,0.43 [0.2],306528.4692903918,623,669,0.726,10900,191000000,00.7,01.0
/post /v1/cart/voucher,0.5 [0.2],456835.91157061653,381,137,0.568,4230,174000000,00.6,01.6
/get /v2/order/:orderNumber,0.08 [0.2],211854.11340287037,798,471,0.573,7290,169000000,00.6,01.0
/get /v1/cart/voucher,0.73 [0.2],381903.90061072644,313,400,0.475,15300,120000000,00.4,00.6
/get /v1/checkout/payment/methods,0.4 [0.2],208134.47553007415,468,372,0.483,9390,97400000,00.4,00.6
/delete /v1/shortlist/:sku,1.0 [0.2],2672342.1270533185,36.3,28.3,0.441,3090,97100000,00.4,00.0
/get /v1/offer,1.0 [0.2],701934.6412746547,105,18.8,0.636,3570,73400000,00.3,00.0
/post /v1/shortlist/cart/move,0.75 [0.2],228142.14339163937,285,317,0.658,5870,64900000,00.2,00.4
/get /v1/checkout/order,0.39 [0.2],146803.1488035135,422,389,0.48,10400,61900000,00.2,00.4
/post /v1/device/info,1.0 [0.2],438635.5340034246,118,27.4,0.885,3520,51900000,00.2,00.0
/get /v1/user/postlogin,0.63 [0.2],175822.62858039144,266,130,0.736,3940,46700000,00.2,00.5
/get /v1/order/reasons/secondary/:primaryReasonId,0.5 [0.2],76553.63459301186,481,127,0.668,3180,36800000,00.1,00.3
/get /v1/order,0.45 [0.2],58703.07723979727,548,263,0.703,7000,32200000,00.1,00.2
/put /v1/cart,0.49 [0.2],77085.18174807534,412,169,0.63,3610,31700000,00.1,00.3
/post /v1/order/return/address,0.51 [0.2],82218.00922469133,315,78.5,0.662,2380,25900000,00.1,00.3
/get /v1/juice/categories,0.99 [0.2],215263.7602829811,118,84.5,0.816,3630,25300000,00.1,00.0
/get /v1/checkout/address,0.76 [0.2],135559.64290849204,183,135,0.471,4500,24800000,00.1,00.2
/post /v1/checkout/success,0.53 [0.2],93789.61763365177,260,57.5,0.732,2360,24400000,00.1,00.3
/post /v1/tinyurl,0.97 [0.2],139384.2190394965,169,26.9,1.43,2200,23500000,00.1,00.0
/post /v1/user/login,0.93 [0.2],182915.49792829415,124,237,0.466,20300,22700000,00.1,00.1
/post /v1/order/return/review,0.5 [0.2],40641.73139177085,493,159,0.774,2590,20000000,00.1,00.1
/get /v1/juice/article/:id,0.98 [0.2],139097.42882584082,129,90.2,0.592,2630,17900000,00.1,00.0
/get /v1/account/bankDetails,0.57 [0.2],78432.3165252285,224,81.2,1.01,3500,17600000,00.1,00.2
/get /v1/products/tat/:sku,0.85 [0.2],94681.42166946332,165,77.9,0.957,2300,15600000,00.1,00.1
/get /v1/checkout/lookup,0.82 [0.2],80161.07442202434,188,70.0,0.815,3010,15100000,00.1,00.1
/post /v1/order/return/summary,0.5 [0.2],29338.13213929698,503,204,0.924,4240,14800000,00.1,00.1
/post /v1/user,0.63 [0.2],49104.04376084463,289,121,1.23,2170,14200000,00.1,00.1
/post /v1/checkout/address,0.54 [0.2],42415.407841163826,314,136,0.512,7650,13300000,00.0,00.1
/get /v1/account/smsoptstatus,0.97 [0.2],80257.449930234,163,33.2,3.61,2180,13100000,00.0,00.0
/post /v1/user/logout/:userId,0.53 [0.2],43129.84125531818,274,63.8,1.74,2590,11800000,00.0,00.1
/get /v1/account/:id,0.83 [0.2],52386.74966913387,190,165,0.976,3390,9950000,00.0,00.1
/delete /v1/cart/voucher/:couponCode,0.51 [0.2],30409.369138569924,326,99.5,0.782,2440,9920000,00.0,00.1
/get /v1/order/listing/detail,0.48 [0.2],17136.295203145222,517,158,0.923,2810,8870000,00.0,00.1
/get /v1/order/return/initiate,0.27 [0.2],14347.90889876569,605,305,0.836,4930,8680000,00.0,00.1
/get /v2/products/:id,0.98 [0.2],102921.55398053113,83.6,203,0.477,6410,8600000,00.0,00.0
/get /v2/order/:orderNumber/cancel/list,0.48 [0.2],16604.12797338436,492,162,0.87,2610,8160000,00.0,00.1
/get /v1/account/cards,0.51 [0.2],25508.055171602504,317,70.1,0.826,3190,8080000,00.0,00.1
/post /v1/checkout/order/cod,0.14 [0.2],8299.579719333564,880,656,0.795,5630,7300000,00.0,00.0
/post /v1/checkout/pgResponse,0.92 [0.2],61407.27515129335,108,267,0.834,2990,6610000,00.0,00.0
/post /v1/checkout/set/address,0.71 [0.2],55970.623850962125,116,132,0.462,7080,6500000,00.0,00.1
/post /v1/user/forgotpassword,0.65 [0.2],24476.40665369135,240,123,0.822,2760,5880000,00.0,00.1
/put /v1/account/:id,0.6 [0.2],20841.270033183726,250,94.7,0.954,2370,5220000,00.0,00.1
/post /v1/user/login/fb,0.0 [0.2],29948.28438100467,156,492,1.89,5030,4660000,00.0,00.2
/post /v1/user/checkout/guestlogin,0.51 [0.2],9811.680964753174,444,119,1.18,1270,4360000,00.0,00.0
/delete /v1/account/address/:addressId,0.53 [0.2],15541.858203576372,269,74.0,3.32,3060,4180000,00.0,00.1
/get /v1/products/sku/:sku,0.95 [0.2],27849.627952119055,140,322,0.647,5440,3900000,00.0,00.0
/post /v1/checkout/order/netbanking,0.58 [0.2],6383.668907093377,553,660,0.879,5720,3530000,00.0,00.0
/get /v1/order/exchange/initiate,0.3 [0.2],5044.3602394880545,618,322,0.863,3080,3120000,00.0,00.0
/get /v1/account/address,1.0 [0.2],46108.966855865656,62.1,39.3,1.31,2090,2870000,00.0,00.0
/post /v1/order/exchange/address,0.5 [0.2],5194.311196581616,502,201,1.38,1580,2610000,00.0,00.0
/post /v1/user/checkout/login,0.99 [0.2],25583.27982472049,94.8,109,2.11,2760,2430000,00.0,00.0
/post /v1/account/bankDetails,0.54 [0.2],10786.677580789836,223,42.9,0.94,1460,2400000,00.0,00.0
/post /v1/checkout/order/express,0.12 [0.2],2741.429143543681,822,607,0.858,4310,2250000,00.0,00.0
