12-18July.csv,**********************************
/get /v1/cart,153.0
/post /v1/cart,218.0
/delete /v1/cart/:sku,164.0
/post /v1/cart/voucher,365.0
/get /v1/cart/voucher,114.0
/get /v1/checkout/payment/methods,244.0
/get /v1/checkout/order,184.0
/post /v1/shortlist/cart/move,220.0
/get /v1/checkout/address,106.0
/put /v1/cart,383.0
/post /v1/checkout/success,248.0
/post /v1/checkout/set/address,70.5
/get /v1/checkout/lookup,185.0
/post /v1/checkout/address,194.0
/delete /v1/cart/voucher/:couponCode,315.0
/post /v1/checkout/order/cod,251.0
/post /v1/checkout/pgResponse,72.0
/post /v1/checkout/order/netbanking,456.0
/post /v1/user/checkout/guestlogin,417.0
/post /v1/user/checkout/login,92.3
/post /v1/checkout/guest/address,157.0
/post /v1/checkout/order/creditdebit,574.0
/post /v1/checkout/order/express,624.0
/post /v1/cart/look,293.0
/get /v1/checkout/pgResponse,7.3
1-7June.csv,**********************************
/get /v1/cart,137.0
/post /v1/cart,150.0
/get /v1/cart/voucher,97.9
/delete /v1/cart/:sku,146.0
/get /v1/checkout/payment/methods,157.0
/post /v1/cart/voucher,272.0
/get /v1/checkout/order,219.0
/post /v1/checkout/order/cod,333.0
/post /v1/user/checkout/guestlogin,125.0
/post /v1/checkout/guest/address,74.9
/post /v1/shortlist/cart/move,91.7
/get /v1/checkout/address,124.0
/get /v1/checkout/lookup,156.0
/post /v1/checkout/success,211.0
/put /v1/cart,282.0
/post /v1/checkout/set/address,140.0
/post /v1/checkout/address,152.0
/post /v1/user/checkout/login,88.2
/delete /v1/cart/voucher/:couponCode,246.0
/post /v1/checkout/pgResponse,37.6
/post /v1/checkout/order/netbanking,236.0
/post /v1/checkout/order/express,230.0
/post /v1/checkout/order/creditdebit,220.0
/get /v1/checkout/pgResponse,6.13
/post /v1/cart/look,225.0
18-24July.csv,**********************************
/get /v1/cart,131.0
/post /v1/cart,232.0
/delete /v1/cart/:sku,160.0
/post /v1/cart/voucher,324.0
/get /v1/cart/voucher,138.0
/get /v1/checkout/payment/methods,245.0
/post /v1/shortlist/cart/move,253.0
/get /v1/checkout/order,185.0
/get /v1/checkout/address,88.0
/put /v1/cart,345.0
/post /v1/checkout/success,246.0
/get /v1/checkout/lookup,189.0
/post /v1/checkout/address,251.0
/post /v1/checkout/set/address,50.3
/delete /v1/cart/voucher/:couponCode,270.0
/post /v1/checkout/order/cod,236.0
/post /v1/checkout/pgResponse,89.6
